Code;Class;Name;Input;Output
ST 1.1;C,D;De Akkers;D.ri.DeAkkers # C.ri.DeAkkers;D.ri.Heemraadlaan # C.ri.Heemraadlaan
ST 1.2;C,D;Heemraadlaan;D.ri.Heemraadlaan # C.ri.Heemraadlaan;D.ri.DeAkkers # D.ri.SpijkenisseCentrum # C.ri.DeAkkers # C.ri.SpijkenisseCentrum
ST 1.3;C,D;Spijkenisse Centrum;D.ri.SpijkenisseCentrum # C.ri.SpijkenisseCentrum;D.ri.Heemraadlaan # D.ri.Zalmplaat # C.ri.Heemraadlaan # C.ri.Zalmplaat 
ST 1.4;C,D;Zalmplaat;D.ri.Zalmplaat # C.ri.Zalmplaat;D.ri.SpijkenisseCentrum # D.ri.Hoogvliet # C.ri.SpijkenisseCentrum # C.ri.Hoogvliet
ST 1.5;C,D;Hoogvliet;D.ri.Hoogvliet # C.ri.Hoogvliet;D.ri.Zalmplaat # D.ri.Tussenwater # C.ri.Zalmplaat # C.ri.Tussenwater
ST 1.6;C,D;Tussenwater;D.ri.Tussenwater # C.ri.Tussenwater;D.ri.Hoogvliet # D.ri.Portugaal # C.ri.Hoogvliet # C.ri.Pernis
ST 1.7;D;Poortugaal;D.ri.Portugaal;D.ri.Tussenwater # D.ri.Rhoon
ST 1.8;D;Rhoon;D.ri.Rhoon;D.ri.Portugaal # D.ri.Slinge
ST 1.9;D;Slinge;D.ri.Slinge;D.ri.Rhoon # D.ri.Zuidplein
ST 1.10;D;Zuidplein;D.ri.Zuidplein;D.ri.Slinge # D.ri.Maashaven
ST 1.11;D;Maashaven;D.ri.Maashaven;D.ri.Zuidplein # D.ri.Rijnhaven
ST 1.12;D;Rijnhaven;D.ri.Rijnhaven;D.ri.Maashaven # D.ri.Wilhelminaplein
ST 1.13;D;Wilhelminaplein;D.ri.Wilhelminaplein;D.ri.Rijnhaven # D.ri.Leuvehaven
ST 1.14;D;Leuvehaven;D.ri.Leuvehaven;D.ri.Wilhelminaplein # D.ri.Beurs
ST 1.15;A,B,C,D;Beurs;D.ri.Beurs # A.ri.Beurs # B.ri.Beurs # C.ri.Beurs;D.ri.Leuvehaven # D.ri.Stadhuis # A.ri.Eendrachtsplein # A.ri.Blaak # B.ri.Eendrachtsplein # B.ri.Blaak # C.ri.Eendrachtsplein # C.ri.Blaak
ST 1.16;D;Stadhuis;D.ri.Stadhuis;D.ri.Beurs # D.ri.RotterdamCentraal
